season,week,week_label,profit,stake,yield_%,bankroll,status_week,updated_at_utc
2025,3,Week 3,136.81,215.68,63.43193620178042,1136.81,final,2025-11-30T23:02:20Z
2025,4,Week 4,-87.68,226.18,-38.76558493235476,1049.1299999999999,final,2025-11-30T23:02:20Z
2025,5,Week 5,-43.05,86.66,-49.676898222940224,1006.0799999999999,final,2025-11-30T23:02:20Z
2025,6,Week 6,-107.9,366.64,-29.429413048221694,898.18,final,2025-11-30T23:02:20Z
2025,7,Week 7,-57.43,305.45,-18.801767883450648,840.75,final,2025-11-30T23:02:20Z
2025,8,Week 8,69.68,140.06,49.75010709695845,910.4300000000001,final,2025-11-30T23:02:20Z
2025,9,Week 9,55.28,274.67,20.125969345032217,965.71,final,2025-11-30T23:02:20Z
2025,10,Week 10,32.79,239.7,13.679599499374218,998.5,final,2025-11-30T23:02:20Z
2025,11,Week 11,38.85999999999999,319.84000000000003,12.149824912456223,1037.36,final,2025-11-30T23:02:20Z
2025,12,Week 12,-63.129999999999995,199.78,-31.599759735709277,974.2299999999999,final,2025-11-30T23:02:20Z
